LastUpdated: 31/12/2025,,"Names of forest reserves in gazettes and maps (""0"" if not found)",,,,,Notes on changes made to reserve names in maps of Dept Forestry 2022 and Dept Env 2012,
no,state,reserves_master,reserves_gaz,reserves_jpsm,reserves_doe,reserves_others,notes_deptfor,notes_deptenv
1,Johor,Air Hitam Utara,0,Air Hitam Utara,Air Hitam Utara,0,,
2,Pulau Pinang,Air Itam Dalam,Air Itam Dalam,0,0,0,,
3,Perak,Amanjaya,Amanjaya,Amanjaya,0,0,Reserve name changed from Aman Jaya to Amanjaya to match gazette,
4,Selangor,Ampang,0,Ampang,Ampang,0,,
5,Selangor,Ampang Pechah,0,Ampang Pechah,Ampang Pechah,0,,
6,Negeri Sembilan,Angsi,0,Angsi,Angsi,0,,"Merged Angsi Barat, Angsi Timur into Angsi to match DeptForestry map after checking locations"
7,Perak,Asam Kumbang,0,Asam Kumbang,Asam Kumbang,0,,Reserve name changed from Assam Kumbang to Asam Kumbang to match DeptForestry map
8,Pahang,Aur,0,Aur,Aur,0,,Reserve name Tiada Nama Hsk 2 changed to Aur to match DeptForestry map after checking locations
9,Pahang,Aur Gading,Aur Gading,Aur Gading,Aur Gading,0,,
10,Pahang,Aur Gading Tambahan,Aur Gading Tambahan,Aur Gading Tambahan,0,0,,
11,Perak,Ayer Chepam,Ayer Chepam,Ayer Chepam,Ayer Chepam,0,Reserve name changed from Air Chepam to Ayer Chepam to match gazette,Reserve name changed from Air Chepam to Ayer Chepam to match gazette
12,Kedah,Ayer Hangat,0,Ayer Hangat,Ayer Hangat,0,,
13,Selangor,Ayer Hitam Tambahan,Ayer Hitam Tambahan,Ayer Hitam Tambahan,Ayer Hitam Tambahan,0,,Reserve name changed from Air Hitam Tambahan to Ayer Hitam Tambahan to match DeptForestry map
14,Johor,Ayer Hitam Utara Tambahan,Ayer Hitam Utara Tambahan,Ayer Hitam Utara Tambahan,0,0,Reserve name changed from Air Hitam Utara Tambahan to Ayer Hitam Utara Tambahan to match gazette,
15,Selangor,Ayer Itam,Ayer Itam,Ayer Itam,Ayer Itam,0,Reserve name changed from Ayer Hitam to Ayer Itam to match gazette,Reserve name changed from Air Hitam to Ayer Itam to match DeptForestry map
16,Pahang,Bakau ,Bakau ,0,0,0,,
17,Perak,Bakau Kuala Gula,Bakau Kuala Gula,0,0,0,,
18,Perak,Bakau Sungai Nipah,Bakau Sungai Nipah,0,0,0,,
19,Kelantan,Balah,0,Balah,Balah,0,,
20,Pulau Pinang,Balik Pulau,0,Balik Pulau,Balik Pulau,0,,
21,Pahang,Balok,Balok,Balok,Balok,0,,
22,Pahang,Balok Paya Laut,0,Balok Paya Laut,Balok Paya Laut,0,,Reserve name changed from Balok Paya Laut Tambahan to Balok Paya Laut to match DeptForestry map after checking location
23,Pahang,Balok Tambahan,Balok Tambahan,Balok Tambahan,0,0,Reserve name changed from Balok(tambahan) to Balok Tambahan to match gazette,
24,Johor,Banang,0,Banang,Banang,0,,
25,Terengganu,Bandi,Bandi,Bandi,Bandi,0,Reserve name changed from Bukit Bandi to Bandi to match gazette,Reserve name changed from Bukit Bandi to Bandi to match gazette
26,Perak,Banding Belum,0,Banding Belum,Banding Belum,0,Reserve name changed from Banding (Belum) to Banding Belum to match gazette,Reserve name changed from Banding (Belum) to Banding Belum to match DeptForestry map
27,Selangor,Banjar Utara,0,Banjar Utara,Banjar Utara,0,,
28,Selangor,Banjar Utara Tambahan,0,Banjar Utara Tambahan,Banjar Utara Tambahan,0,,
29,Selangor,Batang Kali,0,Batang Kali,Batang Kali,0,,
30,Melaka,Batang Melaka,0,Batang Melaka,Batang Melaka,0,,
31,Pahang,Batu Beras,0,Batu Beras,Batu Beras,0,,
32,Pahang,Batu Gangan,0,Batu Gangan,Batu Gangan,0,,
33,Pahang,Batu Gangan Tambahan,0,Batu Gangan Tambahan,Batu Gangan Tambahan,0,,
34,Kelantan,Batu Papan,Batu Papan,Batu Papan,Batu Papan,0,,
35,Pahang,Batu Talam,Batu Talam,Batu Talam,Batu Talam,0,,
36,Pahang,Batu Talam Tambahan,Batu Talam Tambahan,Batu Talam Tambahan,0,0,,
37,Perak,Batu Undan,Batu Undan,Batu Undan,Batu Undan,0,,
38,Pahang,Batu Yon Tambahan,Batu Yon Tambahan,Batu Yon Tambahan,Batu Yon Tambahan,0,Reserve name changed from Batu Yon (Tambahan) to Batu Yon Tambahan to match gazette,Reserve name changed from Yong Tambahan 2 Lipis to Batu Yon Tambahan to match DeptForestry map after checking location
39,Pahang,Bebar Paya Laut,0,Bebar Paya Laut,Bebar Paya Laut,0,,Reserve name changed from Bebar to Bebar Paya Laut to match DeptForestry map after checking location
40,Perak,Behrang,Behrang,Behrang,Behrang,0,,
41,Terengganu,Belara,Belara,Belara,Belara,0,,
42,Perak,Belukar Semang,Belukar Semang,Belukar Semang,Belukar Semang,0,,
43,Perak,Belum,0,Belum,Belum,0,,
44,Johor,Belungkor,0,Belungkor,Belungkor,0,,
45,Pahang,Benchah Tambahan,Benchah Tambahan,Benchah Tambahan,Benchah Tambahan,0,,Reserve name changed from Bencah Tambahan to Benchah Tambahan to match DeptForestry map after checking location
46,Johor,Benut,Benut,Benut,Benut,0,,
47,Kelantan,Berangkat,Berangkat,Berangkat,Berangkat,0,,
48,Negeri Sembilan,Berembun,Berembun,Berembun,Berembun,0,,"Merged Berembun Barat, Berembun Timur into Berembun to match DeptForestry map after checking locations"
49,Pahang,Berkelah,Berkelah,Berkelah,Berkelah,0,Reserve name changed from Berkelah (Kuantan) to Berkelah to match gazette,Reserve name changed from Berkelah Kuantan to Berkelah to match DeptForestry map after checking location
50,Pahang,Berkelah Jerantut,0,Berkelah Jerantut,Berkelah Jerantut,0,Reserve name changed from Berkelah (Jerantut) to Berkelah Jerantut to match gazette,
51,Pahang,Berkelah Tambahan,Berkelah Tambahan,Berkelah Tambahan,Berkelah Tambahan,0,Reserve name changed from Berkelah Tambahan (Kuantan) to Berkelah Tambahan to match gazette,Reserve name changed from Berkelah Tambahan Kuantan to Berkelah Tambahan to match DeptForestry map after checking location
52,Pahang,Berkelah Temerloh,0,Berkelah Temerloh,Berkelah Temerloh,0,Reserve name changed from Berkelah (Temerloh) to Berkelah Temerloh to match gazette,
53,Pahang,Bertam,Bertam,Bertam,Bertam,0,,Reserve name changed from Ulu Bertam Tambahan to Bertam to match DeptForestry map after checking location
54,Pahang,Beserah,Beserah,Beserah,Beserah,0,,
55,Terengganu,Besul,Besul,Besul,Besul,0,,
56,Terengganu,Besul Tambahan,Besul Tambahan,Besul Tambahan,Besul Tambahan,0,Reserve name changed from Besul (Tambahan) to Besul Tambahan to match gazette,Reserve name changed from Besul (Tambahan) to Besul Tambahan to match DeptForestry map
57,Pahang,Betung,0,Betung,Betung,0,,
58,Perak,Bikam,Bikam,0,Bikam,0,,
59,Perak,Bintang Hijau,Bintang Hijau,Bintang Hijau,Bintang Hijau,0,"Merged Bintang Hijau (Hulu Perak), Bintang Hijau (Kuala Kangsar), Bintang Hijau (Larut/Matang) into Bintang Hijau. Reserve name changed from Bintang Hijau (Hulu Perak) to Bintang Hijau to match gazette","Merged Bintang Hijau (Kuala Kangsar), Bintang Hijau (Hulu Perak), Bintang Hijau (Larut Matang) into Bintang Hijau to match DeptForestry map after checking locations"
60,Perak,Bubu,Bubu,Bubu,Bubu,0,"Merged Bubu (Kinta/Manjung), Bubu (Kuala Kangsar), Bubu (Larut/Matang) into Bubu. Reserve name changed from Bubu (Kinta/Manjung) to Bubu to match gazette","Merged Bubu (Kinta Manjung), Bubu (Kuala Kangsar), Bubu (Larut Matang) into Bubu to match DeptForestry map after checking locations"
