state,district,mukim,gaznum,reserve,add,remove,gaz_year,gaz_month,gaz_day,gazeff_year,gazeff_month,gazeff_day,gaz_notes
Selangor,Petaling,Pekan Baru Subang,29,Sungai Buloh,,4.4,2002,1,17,2002,1,17,Gazette Plan: PW 1341. 
Selangor,Sabak Bernam,Sungai Panjang,30,Sungai Karang,,24.3,2002,1,17,2002,1,17,Gazette Plan: PW 1340. 
Terengganu,Dungun,Besul,67,Sungai Paka,,3339,2002,2,14,2000,11,15,Gazette Plan: PW 260. Daerah not mentioned. Filled in based on external source. Mukim renamed from Besol to Besul.
Pahang,NOT STATED,NOT STATED,182,X - NOT STATED,34.39,,2002,2,28,2002,2,28,Gazette Plan: PW 3477. Forest reserve NOT STATED
Pahang,Lipis,NOT STATED,183,Benchah Tambahan,322,,2002,2,28,2002,2,28,Gazette Plan: PW 3538. 
Negeri Sembilan,Seremban,Seremban,122,Gallah,,40.54,2002,3,14,2002,3,14,Gazette Plan: PW 1708. 
Negeri Sembilan,Seremban,Labu,121,Gallah,,129.7413,2002,3,14,2002,3,14,Gazette Plan: PW 1707. 
Terengganu,Setiu,Hulu Nerus,198,Bukit Berok,232.4,,2002,4,25,2001,4,4,Gazette Plan: PA 11056912. Excision of 232.4 ha across two daerah mentioned - Setiu & Hulu Terengganu. I assign 116.2 ha to each daerah
Terengganu,Hulu Terengganu,Hulu Telemung,198,Bukit Berok,116.2,,2002,4,25,2001,4,4,Gazette Plan: PA 11056912. Excision of 232.4 ha across two daerah mentioned - Setiu & Hulu Terengganu. I assign 116.2 ha to each daerah. Mukim renamed from Hulu Telemong to Hulu Telemung (more recent spelling).
Perak,Batang Padang,Batang Padang,286,Bukit Tapah,,97.079,2002,4,25,2002,4,25,"Gazette Plan: PW 1503, 1504, 1505, 1506, 1507. "
Pahang,Kuantan,Sungai Karang,366,Balok,,126,2002,5,9,2002,5,9,Gazette Plan: PW 3524. 
Kelantan,Gua Musang,Renok,508,Terah,,100.368,2002,6,6,2002,6,6,Gazette Plan: PW 759. 
Perak,Hulu Perak,Lenggong,418,Bintang Hijau,,202.6,2002,6,6,2002,6,6,Gazette Plan: PW 1366. 
Selangor,Gombak,Rawang,1008,Kanching,,1.214,2002,7,4,2002,7,4,Gazette Plan: PW 1344. 
Pahang,Kuantan,Kuala Kuantan,562,Bukit Galing,,19.47,2002,7,18,2002,7,18,Gazette Plan: PA 86269. 
Pahang,Raub,Batu Talam,563,Batu Talam,,213.6,2002,7,18,2002,7,18,Gazette Plan: PW 3586. 
Selangor,Gombak,Ulu Klang,1149,Tadahan Air Ampang,,9.712,2002,8,1,2002,8,1,Gazette Plan: PW 1346. 
Selangor,Petaling,Sungai Buloh,1148,Sungai Buloh,,12.3,2002,8,1,2002,8,1,Gazette Plan: PW 1347. 
Selangor,Kuala Selangor,"Ijuk, Batang Berjuntai",1147,Bukit Badong,,466.29,2002,8,1,2002,8,1,Gazette Plan: PW 1345. 
Kedah,Yan,Singkir,312,Gunung Jerai,,40.49,2002,9,12,2001,10,10,Gazette Plan: PW 2065. 
Perak,"Larut, Matang, dan Selama",Batu Kurau,989,Pondok Tanjung,,1416.4,2002,10,24,2002,10,24,"Gazette Plan: PW 1529. Daerah changed to Larut, Matang dan Selama (more recent designation)"
Perak,Batang Padang,Batang Padang,995,Bukit Tapah,,96.56,2002,11,7,2002,11,7,"Gazette Plan: PW 1510, 1511, 1512. "
Negeri Sembilan,Seremban,Seremban,699,Setul,,80.9371,2002,11,21,2002,11,21,Gazette Plan: PW 1770. 
Perak,Kerian,Beriah,1191,Pondok Tanjung,,251.8,2002,12,19,2002,12,19,Gazette Plan: PW 1445. 
Kedah,Pendang,Padang Peliang,25,Bukit Perak,,32.48,2003,1,16,1999,7,28,Gazette Plan: PW 2165. 
Negeri Sembilan,Kuala Pilah,Ulu Jempol,20,Pelangai,,3.687,2003,1,30,2003,1,30,Gazette Plan: PA 35817. Corrected to 3.687 ha in Gazette #451 (2003)
